"Index","Open","High","Low","Close","Volume","Adjusted"
"1",65404,66877,65404,66722,3497000,66722
"2",66720,66758,65898,66094,3446400,66094
"3",66069,66099,64721,64863,3779900,64863
"4",64869,65768,64863,65710,2760000,65710
"5",65705,66015,65295,65526,2273300,65526
"6",65533,66536,65533,66278,2679100,66278
"7",66284,67528,66284,67350,3174100,67350
"8",67355,67709,67191,67538,2872600,67538
"9",67536,68429,67536,68222,3822600,68222
"10",68227,68593,68081,68474,3290300,68474
"11",68473,68792,68124,68684,3672400,68684
"12",68674,68674,67163,67540,3317200,67540
"13",67536,67536,60315,61597,11046700,61597
"14",61597,63488,61597,62639,6120800,62639
"15",62638,62638,60925,61673,5815800,61673
"16",61670,62775,61670,62662,4753500,62662
"17",62673,64016,62673,63257,4181200,63257
"18",63256,63991,62762,63227,4001000,63227
"19",63228,64170,63228,64085,3849400,64085
